"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","59/810","153/6750",0.38562091503268,3.21350762527233,10.2263934276747,1.46609149205764e-17,5.18996388188405e-15,5.18996388188405e-15,"4173/4175/5347/1870/898/5885/11200/1031/1875/5111/8318/990/10926/995/4085/57082/27085/1871/157570/2810/9134/983/891/23594/113130/7533/1032/4172/85417/1869/9133/4998/8317/1029/90381/4176/1030/9088/151648/9212/9232/7534/81620/9319/51529/5933/1111/10403/10459/701/5591/7272/993/699/991/4171/1019/890/4174",59
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","18/810","35/6750",0.514285714285714,4.28571428571429,7.19630912577416,1.37582326048573e-08,2.43520717105973e-06,2.43520717105973e-06,"4173/4175/5111/5984/5427/5558/5424/5422/2237/4172/5557/4176/3978/23649/5982/10535/4171/4174",18
"Cellular Processes","Cell motility","hsa04814","Motor proteins","36/810","153/6750",0.235294117647059,1.96078431372549,4.43881840709109,4.25708108926234e-05,0.00502335568532956,0.00502335568532956,"347733/7280/1062/7139/140465/24137/10112/10382/55083/147700/7134/56992/72/3833/7283/203068/7169/7846/11004/4640/10381/1780/23046/92558/7277/3832/10376/10383/8701/113457/7170/9493/146909/81930/9928/84790",36
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","38/810","177/6750",0.214689265536723,1.78907721280603,3.92819754553948,0.000211471190324252,0.0187152003436963,0.0187152003436963,"1462/7139/1277/3655/1289/84823/4703/1837/483/1284/2023/4000/7134/2275/72/7791/8910/1278/7169/8557/1281/8572/255631/1298/7060/2318/1293/22801/81624/9260/84467/88/1290/84033/7170/27063/1282/4001",38
