"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"3934",671.528728507962,4.35827421115756,0.436943639089798,2.09117068675195e-16,1.90392952362483e-15,"lipocalin 2","ENSG00000148346"
"101927789",33.3937220190303,2.2798786259856,0.287096186305193,2.25945390475111e-16,2.04901785219009e-15,"FAU pseudogene 4","ENSG00000291174"
"729438",345.343429160827,1.01506080451965,0.125800086863839,2.35898956749986e-16,2.13611856102403e-15,"cytosolic arginine sensor for mTORC1 subunit 2","ENSG00000274070"
"55536",254.604404827917,1.37809819859002,0.172303364408995,2.37784529837328e-16,2.15213164412651e-15,"cell division cycle associated 7 like","ENSG00000164649"
"5155",256.923304960372,1.43541499057113,0.179473015530946,2.37982356781517e-16,2.1528610837122e-15,"platelet derived growth factor subunit B","ENSG00000100311"
"107987172",36.3888497541518,2.05478533190306,0.25925220334073,2.40906112379545e-16,2.1782372465475e-15,NA,NA
"388610",338.282722877922,2.25895207827589,0.285851703717801,2.61461613467849e-16,2.35482151531318e-15,"TMF1 regulated nuclear protein 1","ENSG00000253368"
"5955",465.05539261426,1.07902196543186,0.134344386243646,2.66786686447872e-16,2.39925108223737e-15,"reticulocalbin 2","ENSG00000117906"
"9907",1041.91687846011,1.02855204020468,0.127159109788665,2.68690578279517e-16,2.41519029834804e-15,"adaptor related protein complex 5 subunit zeta 1","ENSG00000242802"
"107282092",239.622104314537,1.05165422772202,0.131077363761505,2.73750193609726e-16,2.45946602517075e-15,"BOLA2-SMG1P6 readthrough","ENSG00000261740"
"55630",397.712669966497,2.55780383277207,0.324465027951048,2.78008189037783e-16,2.49649994302682e-15,"solute carrier family 39 member 4","ENSG00000147804"
"54939",1234.29243762047,1.08264525432606,0.134653969989576,2.8118716286218e-16,2.52381283421362e-15,"COMM domain containing 4","ENSG00000140365"
"100533183",56.0090804294128,2.30999265026205,0.292658009541977,2.88859911962669e-16,2.59014815589964e-15,"ZNF664-RFLNA readthrough","ENSG00000178882"
"4015",160.538691064551,2.13252147235311,0.270006831098136,2.96870256567696e-16,2.66067613060477e-15,"lysyl oxidase","ENSG00000113083"
"90355",72.2248823232737,1.88442079090747,0.238096599010258,3.03969151672927e-16,2.7203165211119e-15,"macrophage immunometabolism regulator","ENSG00000181751"
"107986257",78.1228207791662,1.95071978657972,0.246626694352919,3.07703649871053e-16,2.75239640829616e-15,NA,NA
"91942",234.464461782925,1.0753656430798,0.134045207712504,3.14841673891404e-16,2.81350486585973e-15,"NADH:ubiquinone oxidoreductase complex assembly factor 2","ENSG00000164182"
"5226",1808.19126391486,1.41225981428267,0.176830059506321,3.16871157400395e-16,2.83026358681949e-15,"phosphogluconate dehydrogenase","ENSG00000142657"
"80324",645.623475476703,1.19818413134827,0.149546441566221,3.23132799818997e-16,2.88478888472342e-15,"pseudouridine synthase 1","ENSG00000177192"
"1917",282.206940099284,3.79395355845257,0.485094829390965,3.39285254375112e-16,3.02751915031319e-15,"eukaryotic translation elongation factor 1 alpha 2","ENSG00000101210"
"105682749",41.0202944459133,1.95728268514896,0.247917891982095,3.44896587599844e-16,3.06864386370326e-15,"cervical carcinoma expressed PCNA regulatory lncRNA","ENSG00000308499"
"401472",48.0035078907045,1.5018043944549,0.189217981671174,3.50103513050302e-16,3.11346291218196e-15,"growth arrest associated lncRNA 1",NA
"7718",81.1651888564392,1.46589156044148,0.184827609604671,3.62277996989299e-16,3.21550175771459e-15,"zinc finger protein 165","ENSG00000197279"
"26022",674.962747175808,1.19809377393304,0.150333188908148,3.89114750160356e-16,3.44703486345624e-15,"transmembrane protein 98","ENSG00000006042"
