"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69190","DNA strand elongation","22/1068","32/9048",0.6875,5.82443820224719,10.0011804030771,6.31928096577925e-14,9.35253582935328e-12,9.35253582935328e-12,"4173/4175/5111/8318/5984/84515/5558/5424/84296/9837/5422/2237/4172/5557/64785/4176/3978/23649/5982/51659/4171/4174",22
"R-HSA-69306","DNA Replication","50/1068","143/9048",0.34965034965035,2.96220633299285,8.65231267998653,2.70967795856419e-13,3.67612976378541e-11,3.67612976378541e-11,"4173/5708/4175/898/554313/5111/3014/8318/990/56652/5984/10926/8370/3012/84515/5427/5558/8338/9134/5424/84296/9837/23594/5422/2237/4172/5557/4998/64785/8317/4176/55388/51053/5692/723790/8362/8353/81620/8337/3978/51529/11065/27338/23649/5982/51659/10213/4171/890/4174",50
"R-HSA-141424","Amplification of signal from the kinetochores","39/1068","95/9048",0.410526315789474,3.47794204612655,8.88188470119373,3.30278433329146e-13,3.84066635328464e-11,3.84066635328464e-11,"79682/1062/5347/57405/54908/55055/4085/57082/147841/64105/11130/64946/220134/151246/83540/5905/79980/54821/91687/11004/22919/332/1780/3619/151648/9212/55166/10403/23421/1063/701/55143/1058/699/991/81930/2491/79019/9735",39
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","39/1068","95/9048",0.410526315789474,3.47794204612655,8.88188470119373,3.30278433329146e-13,3.84066635328464e-11,3.84066635328464e-11,"79682/1062/5347/57405/54908/55055/4085/57082/147841/64105/11130/64946/220134/151246/83540/5905/79980/54821/91687/11004/22919/332/1780/3619/151648/9212/55166/10403/23421/1063/701/55143/1058/699/991/81930/2491/79019/9735",39
"R-HSA-453279","Mitotic G1 phase and G1/S transition","48/1068","137/9048",0.35036496350365,2.96826047732305,8.49211974698447,7.50335175224188e-13,8.14363776843319e-11,8.14363776843319e-11,"4173/5708/4175/1870/898/1031/1875/5111/8318/990/286826/10926/1163/84515/5427/5558/1871/9134/983/891/7153/23594/5422/1032/6241/4172/1869/5557/4998/8317/1029/4176/1030/55388/51053/5692/81620/5933/7083/23649/993/7298/10213/4171/1019/890/4605/4174",48
"R-HSA-68962","Activation of the pre-replicative complex","21/1068","32/9048",0.65625,5.55969101123596,9.45235289041914,9.70827753297455e-13,9.8781723898016e-11,9.8781723898016e-11,"4173/4175/8318/990/10926/84515/5427/5558/23594/5422/4172/5557/4998/8317/4176/55388/51053/81620/23649/4171/4174",21
"R-HSA-69618","Mitotic Spindle Checkpoint","42/1068","112/9048",0.375,3.17696629213483,8.48058109937198,1.55087683795148e-12,1.48519264246177e-10,1.48519264246177e-10,"79682/1062/5347/57405/54908/55055/4085/57082/147841/64105/11130/64946/220134/151246/83540/5905/79980/54821/91687/11004/22919/332/1780/3619/151648/9212/55166/51529/11065/27338/10403/23421/1063/701/55143/1058/699/991/81930/2491/79019/9735",42
"R-HSA-176974","Unwinding of DNA","12/1068","12/9048",1,8.47191011235955,9.47481254472396,6.92560835836475e-12,6.263828004121e-10,6.263828004121e-10,"4173/4175/8318/84515/84296/9837/4172/64785/4176/51659/4171/4174",12
"R-HSA-983189","Kinesins","25/1068","52/9048",0.480769230769231,4.07303370786517,8.12981659636053,9.79846851986055e-11,8.39574039491209e-09,8.39574039491209e-09,"347733/7280/1062/24137/10112/10382/55083/147700/56992/80086/3833/29127/7846/11004/10381/23046/7277/3832/10376/10383/113457/9493/146909/81930/84790",25
"R-HSA-69481","G2/M Checkpoints","43/1068","131/9048",0.32824427480916,2.78085599107985,7.51089242790503,1.35900184693523e-10,1.10622750340527e-08,1.10622750340527e-08,"4173/5708/4175/11200/554313/3014/8318/990/672/5984/10926/8370/84515/995/2810/63967/983/891/23594/7533/4172/83990/51512/9133/4998/8317/9156/641/4176/116028/55388/9088/580/5692/8362/7534/1111/5982/993/10213/4171/890/4174",43
