"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","genename","ensmbl"
"392636",1143.54051135893,-1.00337174416196,0.198111052049767,1.04582467221893e-07,3.49827400375747e-07,"alkylglycerol monooxygenase","ENSG00000187546"
"80000",256.964134335346,0.997804947261212,0.195086448456204,1.04962414984536e-07,3.51034381492627e-07,"GREB1 like retinoic acid receptor coactivator","ENSG00000141449"
"57708",571.756312108993,-0.537702621221274,0.10227422102168,1.05088970140405e-07,3.51393635771741e-07,"MIER1 transcriptional regulator","ENSG00000198160"
"10219",84.0031474328436,-0.59544580910656,0.113800558980304,1.05268140061497e-07,3.51928659036834e-07,"killer cell lectin like receptor G1","ENSG00000139187"
"23588",1543.7094941805,-0.493955268869005,0.0938441372110121,1.0549714652707e-07,3.52630068952151e-07,"kelch domain containing 2","ENSG00000165516"
"9632",2357.2501366853,0.380924317012196,0.0731109215719092,1.05519197277751e-07,3.52639588500204e-07,"SEC24 homolog C, COPII component","ENSG00000176986"
"54986",83.2685157764547,0.88837548524162,0.172451562506709,1.05624150051291e-07,3.52926108359155e-07,"unc-51 like kinase 4","ENSG00000168038"
"6277",1626.84421136507,1.60747815654355,0.323632124797262,1.05729700468832e-07,3.53214520540228e-07,"S100 calcium binding protein A6","ENSG00000197956"
"7378",311.426595111517,0.912095778842821,0.177528167749931,1.05955818521967e-07,3.53905538620843e-07,"uridine phosphorylase 1","ENSG00000183696"
"105379252",39.4581247971658,-1.13265232750961,0.223677725755749,1.06142166985544e-07,3.54463494184858e-07,"family with sequence similarity 95 member B1-like","ENSG00000290970"
"318",288.075048735558,0.690966329057376,0.132793591706531,1.06268218589081e-07,3.54819921121798e-07,"nudix hydrolase 2","ENSG00000164978"
"359948",3990.20216400494,0.609555843557414,0.116231672608514,1.06492884407052e-07,3.55440808660687e-07,"interferon regulatory factor 2 binding protein 2","ENSG00000168264"
"4351",873.097837952644,0.445692772616798,0.0845443018704668,1.06478797280847e-07,3.55440808660687e-07,"mannose phosphate isomerase","ENSG00000178802"
"5878",1512.24375547143,0.659537252911208,0.126433068505679,1.06722329375997e-07,3.56141896540215e-07,"RAB5C, member RAS oncogene family","ENSG00000108774"
"10268",310.127311035204,-1.28207329332397,0.255530031467286,1.06755120248653e-07,3.5618659670172e-07,"receptor activity modifying protein 3","ENSG00000122679"
"728175",27.0857686718418,-1.05386845231323,0.207358408529639,1.07073559055543e-07,3.57184166847592e-07,"long intergenic non-protein coding RNA 2363","ENSG00000180712"
"10352",177.204617829551,0.410659734448818,0.0777369643426392,1.08572235353168e-07,3.6209360346688e-07,"tryptophanyl tRNA synthetase 2, mitochondrial","ENSG00000116874"
"107984659",64.7175728528265,-0.262593781140584,0.106780871949635,1.08584702368335e-07,3.6209360346688e-07,NA,NA
"8575",566.806570741413,-0.47180824108885,0.0897665266509856,1.09488986855668e-07,3.65042802218133e-07,"protein activator of interferon induced protein kinase EIF2AK2","ENSG00000180228"
"81621",50.4806357842243,1.09683400444638,0.215904662533467,1.09589132575428e-07,3.65310370414805e-07,"Kazal type serine peptidase inhibitor domain 1","ENSG00000107821"
"107986175",15.7325388568019,1.14205753552446,0.225339606420109,1.09669251883017e-07,3.65511096475449e-07,NA,NA
"107986119",41.2325725700879,0.744753812391707,0.143901421840562,1.10025906829257e-07,3.66633234079563e-07,"GSK3B divergent transcript","ENSG00000242622"
"91975",107.318970070157,1.09920161229183,0.216580012887615,1.10071751798251e-07,3.66719457551358e-07,"zinc finger protein 300","ENSG00000145908"
"51060",1164.24465469966,0.451033464218736,0.0854778411618702,1.10171118839996e-07,3.66983933679972e-07,"thioredoxin domain containing 12","ENSG00000117862"
"90390",191.430316501374,0.685606189066208,0.131783262317721,1.10476825188818e-07,3.67935512834142e-07,"mediator complex subunit 30","ENSG00000164758"
"727851",677.485954003057,-0.71953636268763,0.138775591046068,1.10540696222605e-07,3.68081476959548e-07,"RANBP2 like and GRIP domain containing 8","ENSG00000169629"
"171392",75.4606256731962,0.77639555353843,0.15021210783177,1.10672350725874e-07,3.68453054519571e-07,"zinc finger protein 675","ENSG00000197372"
"663",1017.11833874822,-0.481408275781749,0.0916513130819185,1.11315001951905e-07,3.70525411608625e-07,"BCL2 interacting protein 2","ENSG00000140299"
"2984",36.4790759252409,1.65316109213116,0.335130263710058,1.11481422226617e-07,3.71012112680247e-07,"guanylate cyclase 2C","ENSG00000070019"
"9150",368.227597052387,0.567214451158564,0.10830156918577,1.11784002880559e-07,3.7195169938369e-07,"CTD phosphatase subunit 1","ENSG00000060069"
"27330",29.979005124868,-1.22684725664587,0.359889805563763,1.12007207479584e-07,3.72626876477369e-07,"ribosomal protein S6 kinase A6","ENSG00000072133"
"9846",372.533068793531,0.684088145529884,0.131590202222379,1.12552395873379e-07,3.74372794388467e-07,"GRB2 associated binding protein 2","ENSG00000033327"
"7881",669.073977108204,0.581436284676217,0.110625708985815,1.12939902270791e-07,3.75593691651723e-07,"potassium voltage-gated channel subfamily A regulatory beta subunit 1","ENSG00000169282"
"8945",476.301834990005,-0.450937728254923,0.0857980434075336,1.13102748580168e-07,3.76055170670511e-07,"beta-transducin repeat containing E3 ubiquitin protein ligase","ENSG00000166167"
"112268098",87.5163002116205,0.569826028964732,0.109135477213145,1.13119623327374e-07,3.76055170670511e-07,"CNPY2 antisense RNA 1",NA
"9585",143.011987329932,0.901292697356425,0.176000751010941,1.13334520030307e-07,3.7670138024191e-07,"kinesin family member 20B","ENSG00000138182"
"84557",660.33004180118,-0.88066605748459,0.172335707744243,1.1366235573009e-07,3.77722674742558e-07,"microtubule associated protein 1 light chain 3 alpha","ENSG00000101460"
"27076",21.2595127132464,1.24200116267533,0.247032065315373,1.14502273333176e-07,3.80445042064492e-07,"LY6/PLAUR domain containing 3","ENSG00000124466"
"404636",597.658429440741,0.741188320653104,0.142621828557043,1.14992899473056e-07,3.82006079219103e-07,"DENN domain containing 10","ENSG00000119979"
"5387",132.306096285152,0.449788323169029,0.0856819240554378,1.15105201147889e-07,3.8230998623256e-07,"PMS1 homolog 2, mismatch repair system component pseudogene 3","ENSG00000291092"
"5915",82.1425542350334,-1.03876429129347,0.204350404919307,1.15274014855612e-07,3.8280144824746e-07,"retinoic acid receptor beta","ENSG00000077092"
